fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.66201,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.66997,0.01,0.00933,0.93862,0.00061,3.0,0.80454,7.5,0.52539,1.60869,0.015,0.73998,0.53531,0.0,0.10799,0.52554,0.0,0.0,0.0,0.43959,0.69367,0.0,0.0
0.65882,0.01224,0.00892,0.98,0.00058,3.0,0.79778,7.38903,0.4474,1.60869,0.01342,0.73998,0.44855,0.0,0.12205,0.574,0.0,0.0,0.0,0.45721,0.64374,0.0,0.0
0.67907,0.01005,0.00752,0.97695,0.00061,2.61387,0.61742,8.38232,0.55651,1.35816,0.02107,0.57143,0.61118,0.0,0.12517,0.33663,0.0,0.0,0.0,0.5138,0.6376,0.0,0.0
0.68821,0.00864,0.00736,0.94945,0.00065,2.62665,0.61742,8.38232,0.59203,1.35816,0.02253,0.53535,0.61118,0.0,0.12517,0.31973,0.0,0.0,0.0,0.48511,0.6331,0.0,0.0
0.66726,0.01203,0.0075,0.97695,0.00061,2.2954,0.69588,9.20577,0.64786,1.41488,0.02077,0.57143,0.61118,0.0,0.12722,0.33663,0.0,0.0,0.0,0.58249,0.6376,0.0,0.0
0.65658,0.00864,0.00749,0.98,0.00069,2.79126,0.72839,10.81512,0.59441,1.4785,0.01716,0.48389,0.82186,0.0,0.12026,0.34176,0.0,0.0,0.0,0.53848,0.57405,0.0,0.0
0.66759,0.0096,0.00677,0.95929,0.00067,2.55505,0.80902,9.29495,0.55651,1.35816,0.01328,0.60409,0.62773,0.0,0.14699,0.28716,0.0,0.0,0.0,0.55024,0.45098,0.0,0.0
0.68063,0.01005,0.00737,0.98,0.00067,2.96523,0.60638,7.83453,0.56542,1.35816,0.01997,0.60503,0.61118,0.0,0.11746,0.36453,0.0,0.0,0.0,0.5138,0.69097,0.0,0.0
0.70097,0.00802,0.00837,0.94945,0.00073,2.66539,0.61742,7.33517,0.55814,1.35816,0.02683,0.42912,0.59912,0.0,0.09684,0.37581,0.0,0.0,0.0,0.40908,0.69658,0.0,0.0
